ngram_ids,count,smoothed_count
"(406, 101)",32,32.01
"(252, 114)",32,32.01
"(9, 396)",32,32.01
"(9, 127)",32,32.01
"(691, 9)",31,31.01
"(88, 734)",31,31.01
"(654, 9)",31,31.01
"(236, 136)",31,31.01
"(313, 88)",31,31.01
"(153, 132)",31,31.01
"(108, 9)",31,31.01
"(88, 452)",31,31.01
"(11, 1053)",31,31.01
"(193, 34)",31,31.01
"(289, 117)",31,31.01
"(153, 429)",31,31.01
"(88, 613)",30,30.01
"(584, 88)",30,30.01
"(54, 342)",30,30.01
"(99, 11)",30,30.01
"(102, 197)",30,30.01
"(103, 88)",30,30.01
"(436, 97)",30,30.01
"(88, 683)",30,30.01
"(54, 240)",30,30.01
"(88, 590)",30,30.01
"(34, 372)",29,29.01
"(102, 616)",29,29.01
"(3, 34)",29,29.01
"(88, 1261)",29,29.01
"(9, 705)",29,29.01
"(288, 97)",29,29.01
"(181, 54)",29,29.01
"(134, 263)",29,29.01
"(292, 88)",29,29.01
"(281, 114)",29,29.01
"(34, 117)",29,29.01
"(664, 102)",28,28.01
"(135, 198)",28,28.01
"(132, 9)",28,28.01
"(94, 102)",28,28.01
"(535, 9)",28,28.01
"(88, 1138)",28,28.01
"(88, 889)",28,28.01
"(129, 11)",28,28.01
"(88, 936)",28,28.01
"(147, 204)",28,28.01
"(88, 944)",28,28.01
"(96, 640)",28,28.01
"(88, 1447)",28,28.01
"(116, 181)",28,28.01
"(245, 88)",28,28.01
"(135, 502)",28,28.01
"(132, 11)",28,28.01
"(134, 181)",28,28.01
"(1066, 10)",28,28.01
"(102, 333)",28,28.01
"(97, 106)",27,27.01
"(85, 26)",27,27.01
"(9, 313)",27,27.01
"(356, 106)",27,27.01
"(218, 101)",27,27.01
"(153, 252)",27,27.01
"(97, 415)",27,27.01
"(136, 102)",27,27.01
"(11, 918)",27,27.01
"(102, 204)",27,27.01
"(667, 88)",27,27.01
"(102, 446)",27,27.01
"(88, 778)",27,27.01
"(201, 163)",27,27.01
"(101, 197)",27,27.01
"(9, 449)",27,27.01
"(201, 134)",27,27.01
"(9, 1279)",27,27.01
"(1140, 93)",27,27.01
"(98, 443)",27,27.01
"(127, 109)",27,27.01
"(114, 597)",27,27.01
"(34, 263)",27,27.01
"(85, 533)",27,27.01
"(214, 153)",27,27.01
"(93, 98)",27,27.01
"(11, 44)",27,27.01
"(753, 88)",27,27.01
"(438, 101)",26,26.01
"(94, 11)",26,26.01
"(97, 429)",26,26.01
"(252, 163)",26,26.01
"(315, 11)",26,26.01
"(1211, 147)",26,26.01
"(93, 116)",26,26.01
"(579, 98)",26,26.01
"(99, 9)",26,26.01
"(357, 160)",26,26.01
"(155, 89)",26,26.01
"(184, 97)",26,26.01
"(161, 9)",26,26.01
"(102, 407)",26,26.01
"(330, 9)",26,26.01
"(426, 88)",26,26.01
"(88, 315)",26,26.01
"(88, 455)",25,25.01
"(88, 837)",25,25.01
"(254, 93)",25,25.01
"(142, 97)",25,25.01
"(85, 356)",25,25.01
"(9, 676)",25,25.01
"(219, 106)",25,25.01
"(88, 746)",25,25.01
"(11, 1345)",25,25.01
"(9, 282)",25,25.01
"(333, 102)",25,25.01
"(88, 808)",25,25.01
"(271, 88)",25,25.01
"(484, 759)",25,25.01
"(127, 106)",25,25.01
"(88, 1066)",25,25.01
"(227, 9)",25,25.01
"(102, 495)",25,25.01
"(93, 1388)",25,25.01
"(11, 983)",24,24.01
"(616, 11)",24,24.01
"(98, 109)",24,24.01
"(99, 93)",24,24.01
"(129, 9)",24,24.01
"(147, 190)",24,24.01
"(390, 132)",24,24.01
"(88, 896)",24,24.01
"(313, 97)",24,24.01
"(153, 296)",24,24.01
"(93, 101)",24,24.01
"(88, 259)",24,24.01
"(88, 1603)",24,24.01
"(153, 201)",24,24.01
"(225, 9)",24,24.01
"(84, 105)",24,24.01
"(480, 9)",24,24.01
"(356, 160)",24,24.01
"(67, 84)",24,24.01
"(85, 44)",23,23.01
"(213, 114)",23,23.01
"(889, 101)",23,23.01
"(93, 147)",23,23.01
"(73, 407)",23,23.01
"(480, 11)",23,23.01
"(549, 9)",23,23.01
"(78, 9)",23,23.01
"(484, 97)",23,23.01
"(93, 163)",23,23.01
"(556, 9)",23,23.01
"(108, 11)",23,23.01
"(94, 204)",23,23.01
"(258, 88)",23,23.01
"(127, 136)",23,23.01
"(214, 109)",23,23.01
"(88, 55)",23,23.01
"(11, 1043)",23,23.01
"(106, 163)",23,23.01
"(109, 136)",23,23.01
"(153, 385)",23,23.01
"(267, 54)",22,22.01
"(313, 153)",22,22.01
"(97, 528)",22,22.01
"(135, 802)",22,22.01
"(10, 778)",22,22.01
"(9, 116)",22,22.01
"(136, 483)",22,22.01
"(95, 9)",22,22.01
"(613, 10)",22,22.01
"(336, 136)",22,22.01
"(449, 88)",22,22.01
"(495, 101)",22,22.01
"(9, 236)",22,22.01
"(95, 11)",22,22.01
"(160, 163)",22,22.01
"(88, 1437)",22,22.01
"(88, 2008)",22,22.01
"(93, 136)",22,22.01
"(618, 88)",22,22.01
"(98, 134)",22,22.01
"(9, 117)",22,22.01
"(219, 9)",22,22.01
"(496, 10)",22,22.01
"(134, 11)",22,22.01
"(535, 11)",22,22.01
"(163, 102)",22,22.01
"(598, 88)",22,22.01
"(315, 102)",22,22.01
"(451, 181)",22,22.01
"(161, 11)",21,21.01
"(88, 509)",21,21.01
"(445, 101)",21,21.01
"(1645, 10)",21,21.01
"(590, 9)",21,21.01
"(132, 127)",21,21.01
"(109, 89)",21,21.01
